x,y
-78.182040,77.973754
-75.865110,77.957580
-76.882582,78.212711
-75.004807,78.326238
-76.630503,78.524300
-74.576333,78.587167
-78.863203,79.064775
-74.438087,79.030594
-78.045624,79.352255
-73.201495,79.516442
-74.246433,79.885710
-71.463493,79.722744
-70.455787,80.090486
-72.363470,80.217441
-70.109407,80.187839
-70.796063,80.558022
-69.492332,80.370336
-64.592660,81.404288
-70.015717,81.082017
-66.616922,81.515068
-69.293050,81.708553
-65.815213,81.621271
-62.370336,81.997864
-61.110246,82.359197
-63.565728,82.832837
-68.589303,82.622873
-66.356298,82.935073
-77.000076,83.129473
-77.087968,83.125505
-80.000000,82.876478
0,0
-69.152667,70.000000
-68.676280,70.207218
-70.178073,70.032349
-68.285649,70.525521
-69.447471,70.794995
-70.615396,70.457465
-69.884184,70.884108
-71.543145,70.026551
-71.165332,70.546578
-71.972534,70.419928
-70.604410,71.058976
-72.565805,70.615549
-71.154955,71.273213
-72.549935,71.660792
-73.855497,71.049516
-73.599145,71.779202
-75.047532,71.178912
-74.616617,71.659876
-75.365835,71.684291
-74.208591,72.061189
-76.401007,71.859159
-75.150072,72.490578
-77.575036,72.761883
-78.550088,72.438392
-77.003738,72.135958
-78.881209,72.234226
-77.730678,71.746548
-79.790341,72.504616
-80.000000,72.393835
0,0
-60.000000,81.848020
-61.832609,81.785763
-61.787442,80.996567
-63.470207,81.203784
-63.107652,80.739300
-64.080262,81.117113
-67.467765,80.348363
-67.009995,80.053559
